赛事,样本量,理论概率_胜,理论概率_平,理论概率_负,真实频率_胜,真实频率_平,真实频率_负,卡方统计量,P值,当前期数id
欧冠,185.0,0.461,0.228,0.311,0.486,0.178,0.335,2.616,0.27,25088
欧协联,74.0,0.468,0.241,0.291,0.432,0.243,0.324,0.49,0.783,25088
欧国联,135.0,0.446,0.249,0.306,0.43,0.252,0.319,0.154,0.926,25088
欧洲杯,41.0,0.42,0.262,0.318,0.317,0.439,0.244,6.691,0.035,25088
欧洲超级杯,1.0,0.615,0.211,0.174,1.0,0.0,0.0,0.627,0.731,25088
欧联,164.0,0.467,0.247,0.286,0.512,0.207,0.28,1.767,0.413,25088
法乙,119.0,0.418,0.281,0.301,0.462,0.277,0.261,1.203,0.548,25088
法国杯,6.0,0.489,0.241,0.271,0.667,0.333,0.0,2.228,0.328,25088
法甲,136.0,0.452,0.239,0.309,0.449,0.235,0.316,0.037,0.982,25088
瑞典超,54.0,0.46,0.245,0.295,0.556,0.111,0.333,5.305,0.07,25088
社区盾杯,1.0,0.508,0.243,0.249,0.0,1.0,0.0,3.117,0.21,25088
美洲杯,31.0,0.462,0.248,0.29,0.387,0.323,0.29,1.071,0.585,25088
美职,61.0,0.505,0.238,0.256,0.525,0.213,0.262,0.218,0.897,25088
英冠,120.0,0.427,0.271,0.302,0.458,0.2,0.342,3.113,0.211,25088
英甲,2.0,0.357,0.25,0.393,0.5,0.0,0.5,0.672,0.715,25088
英超,321.0,0.445,0.233,0.322,0.396,0.255,0.349,3.151,0.207,25088
荷乙,56.0,0.456,0.237,0.308,0.536,0.125,0.339,3.925,0.141,25088
荷兰杯,2.0,0.386,0.158,0.456,0.5,0.0,0.5,0.391,0.823,25088
荷甲,31.0,0.44,0.238,0.322,0.419,0.258,0.323,0.084,0.959,25088
葡超,51.0,0.446,0.243,0.311,0.353,0.333,0.314,2.687,0.261,25088
西甲,234.0,0.444,0.257,0.299,0.44,0.269,0.291,0.198,0.906,25088
解放者杯,14.0,0.472,0.258,0.27,0.571,0.143,0.286,1.021,0.6,25088
足总杯,22.0,0.47,0.222,0.308,0.545,0.227,0.227,0.739,0.691,25088
J2联赛,4.0,0.311,0.28,0.409,0.25,0.25,0.5,0.143,0.931,25089
J联赛,23.0,0.4,0.276,0.325,0.478,0.304,0.217,1.236,0.539,25089
世亚预,62.0,0.459,0.237,0.304,0.419,0.29,0.29,0.992,0.609,25089
世俱杯,5.0,0.515,0.228,0.257,0.6,0.4,0.0,2.004,0.367,25089
世南美预,32.0,0.452,0.27,0.278,0.531,0.406,0.062,7.989,0.018,25089
世欧预,32.0,0.487,0.183,0.33,0.594,0.094,0.312,2.174,0.337,25089
亚冠,36.0,0.504,0.222,0.274,0.583,0.222,0.194,1.277,0.528,25089
国王杯,5.0,0.452,0.247,0.301,0.0,0.4,0.6,4.223,0.121,25089
天皇杯,18.0,0.281,0.247,0.472,0.333,0.056,0.611,3.597,0.166,25089
奥运女足,22.0,0.468,0.214,0.318,0.5,0.045,0.455,4.264,0.119,25089
奥运男足,27.0,0.421,0.24,0.339,0.481,0.111,0.407,2.465,0.292,25089
德乙,64.0,0.431,0.251,0.318,0.438,0.188,0.375,1.703,0.427,25089
德国杯,18.0,0.436,0.214,0.35,0.667,0.111,0.222,3.912,0.141,25089
德甲,268.0,0.445,0.233,0.322,0.358,0.261,0.381,8.298,0.016,25089
德超杯,1.0,0.549,0.232,0.219,0.0,1.0,0.0,3.308,0.191,25089
意大利杯,19.0,0.573,0.228,0.198,0.579,0.158,0.263,0.815,0.665,25089
意甲,226.0,0.416,0.264,0.32,0.407,0.301,0.292,1.713,0.425,25089
意超杯,1.0,0.535,0.266,0.199,1.0,0.0,0.0,0.869,0.648,25089
挪超,61.0,0.456,0.238,0.306,0.393,0.295,0.311,1.359,0.507,25089
日联杯,9.0,0.339,0.286,0.375,0.333,0.222,0.444,0.247,0.884,25089
欧冠,185.0,0.461,0.228,0.311,0.486,0.178,0.335,2.616,0.27,25089
欧协联,74.0,0.468,0.241,0.291,0.432,0.243,0.324,0.49,0.783,25089
欧国联,135.0,0.446,0.249,0.306,0.43,0.252,0.319,0.154,0.926,25089
欧洲杯,30.0,0.425,0.263,0.312,0.3,0.433,0.267,4.606,0.1,25089
欧洲超级杯,1.0,0.615,0.211,0.174,1.0,0.0,0.0,0.627,0.731,25089
欧联,164.0,0.467,0.247,0.286,0.512,0.207,0.28,1.767,0.413,25089
法乙,119.0,0.418,0.281,0.301,0.462,0.277,0.261,1.203,0.548,25089
法国杯,6.0,0.489,0.241,0.271,0.667,0.333,0.0,2.228,0.328,25089
法甲,136.0,0.452,0.239,0.309,0.449,0.235,0.316,0.037,0.982,25089
瑞典超,54.0,0.46,0.245,0.295,0.556,0.111,0.333,5.305,0.07,25089
社区盾杯,1.0,0.508,0.243,0.249,0.0,1.0,0.0,3.117,0.21,25089
美洲杯,30.0,0.469,0.246,0.285,0.4,0.3,0.3,0.69,0.708,25089
美职,65.0,0.497,0.241,0.262,0.492,0.215,0.292,0.405,0.817,25089
英冠,120.0,0.427,0.271,0.302,0.458,0.2,0.342,3.113,0.211,25089
英甲,2.0,0.357,0.25,0.393,0.5,0.0,0.5,0.672,0.715,25089
英超,321.0,0.445,0.233,0.322,0.396,0.255,0.349,3.151,0.207,25089
荷乙,56.0,0.456,0.237,0.308,0.536,0.125,0.339,3.925,0.141,25089
荷兰杯,2.0,0.386,0.158,0.456,0.5,0.0,0.5,0.391,0.823,25089
荷甲,31.0,0.44,0.238,0.322,0.419,0.258,0.323,0.084,0.959,25089
葡超,51.0,0.446,0.243,0.311,0.353,0.333,0.314,2.687,0.261,25089
西甲,234.0,0.444,0.257,0.299,0.44,0.269,0.291,0.198,0.906,25089
解放者杯,14.0,0.472,0.258,0.27,0.571,0.143,0.286,1.021,0.6,25089
足总杯,22.0,0.47,0.222,0.308,0.545,0.227,0.227,0.739,0.691,25089
金杯赛,4.0,0.639,0.175,0.187,0.75,0.0,0.25,0.864,0.649,25089
J2联赛,4.0,0.311,0.28,0.409,0.25,0.25,0.5,0.143,0.931,25090
J联赛,23.0,0.4,0.276,0.325,0.478,0.304,0.217,1.236,0.539,25090
世亚预,62.0,0.459,0.237,0.304,0.419,0.29,0.29,0.992,0.609,25090
世俱杯,16.0,0.468,0.217,0.316,0.438,0.375,0.188,2.716,0.257,25090
世南美预,32.0,0.452,0.27,0.278,0.531,0.406,0.062,7.989,0.018,25090
世欧预,32.0,0.487,0.183,0.33,0.594,0.094,0.312,2.174,0.337,25090
亚冠,36.0,0.504,0.222,0.274,0.583,0.222,0.194,1.277,0.528,25090
国王杯,5.0,0.452,0.247,0.301,0.0,0.4,0.6,4.223,0.121,25090
天皇杯,18.0,0.281,0.247,0.472,0.333,0.056,0.611,3.597,0.166,25090
奥运女足,22.0,0.468,0.214,0.318,0.5,0.045,0.455,4.264,0.119,25090
奥运男足,27.0,0.421,0.24,0.339,0.481,0.111,0.407,2.465,0.292,25090
德乙,64.0,0.431,0.251,0.318,0.438,0.188,0.375,1.703,0.427,25090
德国杯,18.0,0.436,0.214,0.35,0.667,0.111,0.222,3.912,0.141,25090
德甲,268.0,0.445,0.233,0.322,0.358,0.261,0.381,8.298,0.016,25090
德超杯,1.0,0.549,0.232,0.219,0.0,1.0,0.0,3.308,0.191,25090
意大利杯,19.0,0.573,0.228,0.198,0.579,0.158,0.263,0.815,0.665,25090
意甲,226.0,0.416,0.264,0.32,0.407,0.301,0.292,1.713,0.425,25090
意超杯,1.0,0.535,0.266,0.199,1.0,0.0,0.0,0.869,0.648,25090
挪超,61.0,0.456,0.238,0.306,0.393,0.295,0.311,1.359,0.507,25090
日联杯,9.0,0.339,0.286,0.375,0.333,0.222,0.444,0.247,0.884,25090
欧冠,185.0,0.461,0.228,0.311,0.486,0.178,0.335,2.616,0.27,25090
欧协联,74.0,0.468,0.241,0.291,0.432,0.243,0.324,0.49,0.783,25090
欧国联,135.0,0.446,0.249,0.306,0.43,0.252,0.319,0.154,0.926,25090
欧洲杯,27.0,0.432,0.267,0.3,0.296,0.444,0.259,4.476,0.107,25090
欧洲超级杯,1.0,0.615,0.211,0.174,1.0,0.0,0.0,0.627,0.731,25090
欧联,164.0,0.467,0.247,0.286,0.512,0.207,0.28,1.767,0.413,25090
法乙,119.0,0.418,0.281,0.301,0.462,0.277,0.261,1.203,0.548,25090
法国杯,6.0,0.489,0.241,0.271,0.667,0.333,0.0,2.228,0.328,25090
法甲,136.0,0.452,0.239,0.309,0.449,0.235,0.316,0.037,0.982,25090
瑞典超,54.0,0.46,0.245,0.295,0.556,0.111,0.333,5.305,0.07,25090
社区盾杯,1.0,0.508,0.243,0.249,0.0,1.0,0.0,3.117,0.21,25090
美洲杯,28.0,0.463,0.245,0.292,0.393,0.321,0.286,0.978,0.613,25090
美职,56.0,0.493,0.241,0.265,0.5,0.232,0.268,0.027,0.987,25090
英冠,120.0,0.427,0.271,0.302,0.458,0.2,0.342,3.113,0.211,25090
英甲,2.0,0.357,0.25,0.393,0.5,0.0,0.5,0.672,0.715,25090
英超,321.0,0.445,0.233,0.322,0.396,0.255,0.349,3.151,0.207,25090
荷乙,56.0,0.456,0.237,0.308,0.536,0.125,0.339,3.925,0.141,25090
荷兰杯,2.0,0.386,0.158,0.456,0.5,0.0,0.5,0.391,0.823,25090
荷甲,31.0,0.44,0.238,0.322,0.419,0.258,0.323,0.084,0.959,25090
葡超,51.0,0.446,0.243,0.311,0.353,0.333,0.314,2.687,0.261,25090
西甲,234.0,0.444,0.257,0.299,0.44,0.269,0.291,0.198,0.906,25090
解放者杯,14.0,0.472,0.258,0.27,0.571,0.143,0.286,1.021,0.6,25090
足总杯,22.0,0.47,0.222,0.308,0.545,0.227,0.227,0.739,0.691,25090
金杯赛,7.0,0.564,0.177,0.259,0.714,0.0,0.286,1.539,0.463,25090
J2联赛,4.0,0.311,0.28,0.409,0.25,0.25,0.5,0.143,0.931,25091
J联赛,23.0,0.4,0.276,0.325,0.478,0.304,0.217,1.236,0.539,25091
世亚预,62.0,0.459,0.237,0.304,0.419,0.29,0.29,0.992,0.609,25091
世俱杯,28.0,0.483,0.214,0.302,0.5,0.25,0.25,0.439,0.803,25091
世南美预,32.0,0.452,0.27,0.278,0.531,0.406,0.062,7.989,0.018,25091
世欧预,32.0,0.487,0.183,0.33,0.594,0.094,0.312,2.174,0.337,25091
亚冠,36.0,0.504,0.222,0.274,0.583,0.222,0.194,1.277,0.528,25091
国王杯,5.0,0.452,0.247,0.301,0.0,0.4,0.6,4.223,0.121,25091
天皇杯,18.0,0.281,0.247,0.472,0.333,0.056,0.611,3.597,0.166,25091
奥运女足,22.0,0.468,0.214,0.318,0.5,0.045,0.455,4.264,0.119,25091
奥运男足,27.0,0.421,0.24,0.339,0.481,0.111,0.407,2.465,0.292,25091
德乙,64.0,0.431,0.251,0.318,0.438,0.188,0.375,1.703,0.427,25091
德国杯,18.0,0.436,0.214,0.35,0.667,0.111,0.222,3.912,0.141,25091
德甲,268.0,0.445,0.233,0.322,0.358,0.261,0.381,8.298,0.016,25091
德超杯,1.0,0.549,0.232,0.219,0.0,1.0,0.0,3.308,0.191,25091
意大利杯,19.0,0.573,0.228,0.198,0.579,0.158,0.263,0.815,0.665,25091
意甲,226.0,0.416,0.264,0.32,0.407,0.301,0.292,1.713,0.425,25091
意超杯,1.0,0.535,0.266,0.199,1.0,0.0,0.0,0.869,0.648,25091
挪超,61.0,0.456,0.238,0.306,0.393,0.295,0.311,1.359,0.507,25091
日联杯,9.0,0.339,0.286,0.375,0.333,0.222,0.444,0.247,0.884,25091
欧冠,185.0,0.461,0.228,0.311,0.486,0.178,0.335,2.616,0.27,25091
欧协联,74.0,0.468,0.241,0.291,0.432,0.243,0.324,0.49,0.783,25091
欧国联,135.0,0.446,0.249,0.306,0.43,0.252,0.319,0.154,0.926,25091
欧洲杯,19.0,0.411,0.279,0.309,0.421,0.368,0.211,1.144,0.564,25091
欧洲超级杯,1.0,0.615,0.211,0.174,1.0,0.0,0.0,0.627,0.731,25091
欧联,164.0,0.467,0.247,0.286,0.512,0.207,0.28,1.767,0.413,25091
法乙,119.0,0.418,0.281,0.301,0.462,0.277,0.261,1.203,0.548,25091
法国杯,6.0,0.489,0.241,0.271,0.667,0.333,0.0,2.228,0.328,25091
法甲,136.0,0.452,0.239,0.309,0.449,0.235,0.316,0.037,0.982,25091
瑞典超,54.0,0.46,0.245,0.295,0.556,0.111,0.333,5.305,0.07,25091
社区盾杯,1.0,0.508,0.243,0.249,0.0,1.0,0.0,3.117,0.21,25091
美洲杯,22.0,0.435,0.257,0.308,0.364,0.364,0.273,1.324,0.516,25091
美职,56.0,0.493,0.241,0.265,0.5,0.232,0.268,0.027,0.987,25091
英冠,120.0,0.427,0.271,0.302,0.458,0.2,0.342,3.113,0.211,25091
英甲,2.0,0.357,0.25,0.393,0.5,0.0,0.5,0.672,0.715,25091
英超,321.0,0.445,0.233,0.322,0.396,0.255,0.349,3.151,0.207,25091
荷乙,56.0,0.456,0.237,0.308,0.536,0.125,0.339,3.925,0.141,25091
荷兰杯,2.0,0.386,0.158,0.456,0.5,0.0,0.5,0.391,0.823,25091
荷甲,31.0,0.44,0.238,0.322,0.419,0.258,0.323,0.084,0.959,25091
葡超,51.0,0.446,0.243,0.311,0.353,0.333,0.314,2.687,0.261,25091
西甲,234.0,0.444,0.257,0.299,0.44,0.269,0.291,0.198,0.906,25091
解放者杯,14.0,0.472,0.258,0.27,0.571,0.143,0.286,1.021,0.6,25091
足总杯,22.0,0.47,0.222,0.308,0.545,0.227,0.227,0.739,0.691,25091
金杯赛,9.0,0.465,0.18,0.355,0.556,0.111,0.333,0.406,0.816,25091
J2联赛,4.0,0.311,0.28,0.409,0.25,0.25,0.5,0.143,0.931,25092
J联赛,19.0,0.397,0.273,0.33,0.526,0.263,0.211,1.637,0.441,25092
世亚预,62.0,0.459,0.237,0.304,0.419,0.29,0.29,0.992,0.609,25092
世俱杯,36.0,0.487,0.212,0.302,0.5,0.278,0.222,1.515,0.469,25092
世南美预,32.0,0.452,0.27,0.278,0.531,0.406,0.062,7.989,0.018,25092
世欧预,32.0,0.487,0.183,0.33,0.594,0.094,0.312,2.174,0.337,25092
亚冠,36.0,0.504,0.222,0.274,0.583,0.222,0.194,1.277,0.528,25092
国王杯,5.0,0.452,0.247,0.301,0.0,0.4,0.6,4.223,0.121,25092
天皇杯,18.0,0.281,0.247,0.472,0.333,0.056,0.611,3.597,0.166,25092
奥运女足,22.0,0.468,0.214,0.318,0.5,0.045,0.455,4.264,0.119,25092
奥运男足,27.0,0.421,0.24,0.339,0.481,0.111,0.407,2.465,0.292,25092
德乙,64.0,0.431,0.251,0.318,0.438,0.188,0.375,1.703,0.427,25092
德国杯,18.0,0.436,0.214,0.35,0.667,0.111,0.222,3.912,0.141,25092
德甲,268.0,0.445,0.233,0.322,0.358,0.261,0.381,8.298,0.016,25092
德超杯,1.0,0.549,0.232,0.219,0.0,1.0,0.0,3.308,0.191,25092
意大利杯,19.0,0.573,0.228,0.198,0.579,0.158,0.263,0.815,0.665,25092
意甲,226.0,0.416,0.264,0.32,0.407,0.301,0.292,1.713,0.425,25092
意超杯,1.0,0.535,0.266,0.199,1.0,0.0,0.0,0.869,0.648,25092
挪超,61.0,0.454,0.238,0.308,0.393,0.295,0.311,1.322,0.516,25092
日联杯,9.0,0.339,0.286,0.375,0.333,0.222,0.444,0.247,0.884,25092
欧冠,185.0,0.461,0.228,0.311,0.486,0.178,0.335,2.616,0.27,25092
欧协联,74.0,0.468,0.241,0.291,0.432,0.243,0.324,0.49,0.783,25092
欧国联,135.0,0.446,0.249,0.306,0.43,0.252,0.319,0.154,0.926,25092
欧洲杯,15.0,0.456,0.276,0.268,0.467,0.333,0.2,0.437,0.804,25092
欧洲超级杯,1.0,0.615,0.211,0.174,1.0,0.0,0.0,0.627,0.731,25092
欧联,164.0,0.467,0.247,0.286,0.512,0.207,0.28,1.767,0.413,25092
法乙,119.0,0.418,0.281,0.301,0.462,0.277,0.261,1.203,0.548,25092
法国杯,6.0,0.489,0.241,0.271,0.667,0.333,0.0,2.228,0.328,25092
法甲,136.0,0.452,0.239,0.309,0.449,0.235,0.316,0.037,0.982,25092
瑞典超,54.0,0.46,0.245,0.295,0.556,0.111,0.333,5.305,0.07,25092
社区盾杯,1.0,0.508,0.243,0.249,0.0,1.0,0.0,3.117,0.21,25092
美洲杯,18.0,0.399,0.266,0.336,0.278,0.444,0.278,3.01,0.222,25092
美职,56.0,0.493,0.241,0.265,0.5,0.232,0.268,0.027,0.987,25092
英冠,120.0,0.427,0.271,0.302,0.458,0.2,0.342,3.113,0.211,25092
英甲,2.0,0.357,0.25,0.393,0.5,0.0,0.5,0.672,0.715,25092
英超,321.0,0.445,0.233,0.322,0.396,0.255,0.349,3.151,0.207,25092
荷乙,56.0,0.456,0.237,0.308,0.536,0.125,0.339,3.925,0.141,25092
荷兰杯,2.0,0.386,0.158,0.456,0.5,0.0,0.5,0.391,0.823,25092
荷甲,31.0,0.44,0.238,0.322,0.419,0.258,0.323,0.084,0.959,25092
葡超,51.0,0.446,0.243,0.311,0.353,0.333,0.314,2.687,0.261,25092
西甲,234.0,0.444,0.257,0.299,0.44,0.269,0.291,0.198,0.906,25092
解放者杯,14.0,0.472,0.258,0.27,0.571,0.143,0.286,1.021,0.6,25092
足总杯,22.0,0.47,0.222,0.308,0.545,0.227,0.227,0.739,0.691,25092
金杯赛,13.0,0.502,0.191,0.307,0.462,0.308,0.231,1.222,0.543,25092
J2联赛,4.0,0.311,0.28,0.409,0.25,0.25,0.5,0.143,0.931,25093
J联赛,19.0,0.397,0.273,0.33,0.526,0.263,0.211,1.637,0.441,25093
世亚预,62.0,0.459,0.237,0.304,0.419,0.29,0.29,0.992,0.609,25093
世俱杯,48.0,0.44,0.214,0.346,0.458,0.271,0.271,1.556,0.459,25093
世南美预,32.0,0.452,0.27,0.278,0.531,0.406,0.062,7.989,0.018,25093
世欧预,32.0,0.487,0.183,0.33,0.594,0.094,0.312,2.174,0.337,25093
亚冠,36.0,0.504,0.222,0.274,0.583,0.222,0.194,1.277,0.528,25093
国王杯,5.0,0.452,0.247,0.301,0.0,0.4,0.6,4.223,0.121,25093
天皇杯,18.0,0.281,0.247,0.472,0.333,0.056,0.611,3.597,0.166,25093
奥运女足,22.0,0.468,0.214,0.318,0.5,0.045,0.455,4.264,0.119,25093
奥运男足,27.0,0.421,0.24,0.339,0.481,0.111,0.407,2.465,0.292,25093
德乙,64.0,0.431,0.251,0.318,0.438,0.188,0.375,1.703,0.427,25093
德国杯,18.0,0.436,0.214,0.35,0.667,0.111,0.222,3.912,0.141,25093
德甲,268.0,0.445,0.233,0.322,0.358,0.261,0.381,8.298,0.016,25093
德超杯,1.0,0.549,0.232,0.219,0.0,1.0,0.0,3.308,0.191,25093
意大利杯,19.0,0.573,0.228,0.198,0.579,0.158,0.263,0.815,0.665,25093
意甲,226.0,0.416,0.264,0.32,0.407,0.301,0.292,1.713,0.425,25093
意超杯,1.0,0.535,0.266,0.199,1.0,0.0,0.0,0.869,0.648,25093
挪超,57.0,0.457,0.239,0.305,0.421,0.281,0.298,0.582,0.748,25093
日联杯,9.0,0.339,0.286,0.375,0.333,0.222,0.444,0.247,0.884,25093
欧冠,185.0,0.461,0.228,0.311,0.486,0.178,0.335,2.616,0.27,25093
欧协联,74.0,0.468,0.241,0.291,0.432,0.243,0.324,0.49,0.783,25093
欧国联,135.0,0.446,0.249,0.306,0.43,0.252,0.319,0.154,0.926,25093
欧洲杯,13.0,0.458,0.274,0.268,0.385,0.385,0.231,0.799,0.671,25093
欧洲超级杯,1.0,0.615,0.211,0.174,1.0,0.0,0.0,0.627,0.731,25093
欧联,164.0,0.467,0.247,0.286,0.512,0.207,0.28,1.767,0.413,25093
法乙,119.0,0.418,0.281,0.301,0.462,0.277,0.261,1.203,0.548,25093
法国杯,6.0,0.489,0.241,0.271,0.667,0.333,0.0,2.228,0.328,25093
法甲,136.0,0.452,0.239,0.309,0.449,0.235,0.316,0.037,0.982,25093
瑞典超,54.0,0.46,0.245,0.295,0.556,0.111,0.333,5.305,0.07,25093
社区盾杯,1.0,0.508,0.243,0.249,0.0,1.0,0.0,3.117,0.21,25093
美洲杯,14.0,0.388,0.276,0.336,0.214,0.5,0.286,3.728,0.155,25093
美职,52.0,0.488,0.242,0.269,0.481,0.231,0.288,0.105,0.949,25093
英冠,120.0,0.427,0.271,0.302,0.458,0.2,0.342,3.113,0.211,25093
英甲,2.0,0.357,0.25,0.393,0.5,0.0,0.5,0.672,0.715,25093
英超,321.0,0.445,0.233,0.322,0.396,0.255,0.349,3.151,0.207,25093
荷乙,56.0,0.456,0.237,0.308,0.536,0.125,0.339,3.925,0.141,25093
荷兰杯,2.0,0.386,0.158,0.456,0.5,0.0,0.5,0.391,0.823,25093
荷甲,31.0,0.44,0.238,0.322,0.419,0.258,0.323,0.084,0.959,25093
葡超,51.0,0.446,0.243,0.311,0.353,0.333,0.314,2.687,0.261,25093
西甲,234.0,0.444,0.257,0.299,0.44,0.269,0.291,0.198,0.906,25093
解放者杯,14.0,0.472,0.258,0.27,0.571,0.143,0.286,1.021,0.6,25093
足总杯,22.0,0.47,0.222,0.308,0.545,0.227,0.227,0.739,0.691,25093
金杯赛,15.0,0.513,0.196,0.291,0.533,0.267,0.2,0.821,0.663,25093
J2联赛,4.0,0.311,0.28,0.409,0.25,0.25,0.5,0.143,0.931,25094
J联赛,18.0,0.392,0.272,0.335,0.5,0.278,0.222,1.221,0.543,25094
世亚预,62.0,0.459,0.237,0.304,0.419,0.29,0.29,0.992,0.609,25094
世俱杯,50.0,0.436,0.217,0.347,0.44,0.3,0.26,2.65,0.266,25094
世南美预,32.0,0.452,0.27,0.278,0.531,0.406,0.062,7.989,0.018,25094
世欧预,32.0,0.487,0.183,0.33,0.594,0.094,0.312,2.174,0.337,25094
亚冠,36.0,0.504,0.222,0.274,0.583,0.222,0.194,1.277,0.528,25094
国王杯,5.0,0.452,0.247,0.301,0.0,0.4,0.6,4.223,0.121,25094
天皇杯,18.0,0.281,0.247,0.472,0.333,0.056,0.611,3.597,0.166,25094
奥运女足,22.0,0.468,0.214,0.318,0.5,0.045,0.455,4.264,0.119,25094
奥运男足,27.0,0.421,0.24,0.339,0.481,0.111,0.407,2.465,0.292,25094
德乙,64.0,0.431,0.251,0.318,0.438,0.188,0.375,1.703,0.427,25094
德国杯,18.0,0.436,0.214,0.35,0.667,0.111,0.222,3.912,0.141,25094
德甲,268.0,0.445,0.233,0.322,0.358,0.261,0.381,8.298,0.016,25094
德超杯,1.0,0.549,0.232,0.219,0.0,1.0,0.0,3.308,0.191,25094
意大利杯,19.0,0.573,0.228,0.198,0.579,0.158,0.263,0.815,0.665,25094
意甲,226.0,0.416,0.264,0.32,0.407,0.301,0.292,1.713,0.425,25094
意超杯,1.0,0.535,0.266,0.199,1.0,0.0,0.0,0.869,0.648,25094
挪超,57.0,0.453,0.24,0.307,0.404,0.298,0.298,1.147,0.564,25094
日联杯,9.0,0.339,0.286,0.375,0.333,0.222,0.444,0.247,0.884,25094
欧冠,185.0,0.461,0.228,0.311,0.486,0.178,0.335,2.616,0.27,25094
欧协联,74.0,0.468,0.241,0.291,0.432,0.243,0.324,0.49,0.783,25094
欧国联,135.0,0.446,0.249,0.306,0.43,0.252,0.319,0.154,0.926,25094
欧洲杯,7.0,0.385,0.317,0.298,0.429,0.429,0.143,0.877,0.645,25094
欧洲超级杯,1.0,0.615,0.211,0.174,1.0,0.0,0.0,0.627,0.731,25094
欧联,164.0,0.467,0.247,0.286,0.512,0.207,0.28,1.767,0.413,25094
法乙,119.0,0.418,0.281,0.301,0.462,0.277,0.261,1.203,0.548,25094
法国杯,6.0,0.489,0.241,0.271,0.667,0.333,0.0,2.228,0.328,25094
法甲,136.0,0.452,0.239,0.309,0.449,0.235,0.316,0.037,0.982,25094
瑞典超,55.0,0.458,0.246,0.296,0.545,0.127,0.327,4.243,0.12,25094
社区盾杯,1.0,0.508,0.243,0.249,0.0,1.0,0.0,3.117,0.21,25094
美洲杯,8.0,0.462,0.269,0.269,0.25,0.625,0.125,5.144,0.076,25094
美职,57.0,0.484,0.243,0.272,0.491,0.246,0.263,0.023,0.988,25094
芬超,3.0,0.295,0.262,0.443,0.667,0.0,0.333,2.274,0.321,25094
英冠,120.0,0.427,0.271,0.302,0.458,0.2,0.342,3.113,0.211,25094
英甲,2.0,0.357,0.25,0.393,0.5,0.0,0.5,0.672,0.715,25094
英超,321.0,0.445,0.233,0.322,0.396,0.255,0.349,3.151,0.207,25094
荷乙,56.0,0.456,0.237,0.308,0.536,0.125,0.339,3.925,0.141,25094
荷兰杯,2.0,0.386,0.158,0.456,0.5,0.0,0.5,0.391,0.823,25094
荷甲,31.0,0.44,0.238,0.322,0.419,0.258,0.323,0.084,0.959,25094
葡超,51.0,0.446,0.243,0.311,0.353,0.333,0.314,2.687,0.261,25094
西甲,234.0,0.444,0.257,0.299,0.44,0.269,0.291,0.198,0.906,25094
解放者杯,14.0,0.472,0.258,0.27,0.571,0.143,0.286,1.021,0.6,25094
足总杯,22.0,0.47,0.222,0.308,0.545,0.227,0.227,0.739,0.691,25094
金杯赛,17.0,0.52,0.203,0.277,0.529,0.294,0.176,1.321,0.516,25094
J2联赛,4.0,0.311,0.28,0.409,0.25,0.25,0.5,0.143,0.931,25095
J联赛,18.0,0.392,0.272,0.335,0.5,0.278,0.222,1.221,0.543,25095
世亚预,62.0,0.459,0.237,0.304,0.419,0.29,0.29,0.992,0.609,25095
世俱杯,56.0,0.45,0.217,0.333,0.446,0.286,0.268,1.919,0.383,25095
世南美预,32.0,0.452,0.27,0.278,0.531,0.406,0.062,7.989,0.018,25095
世欧预,32.0,0.487,0.183,0.33,0.594,0.094,0.312,2.174,0.337,25095
亚冠,36.0,0.504,0.222,0.274,0.583,0.222,0.194,1.277,0.528,25095
国王杯,5.0,0.452,0.247,0.301,0.0,0.4,0.6,4.223,0.121,25095
天皇杯,18.0,0.281,0.247,0.472,0.333,0.056,0.611,3.597,0.166,25095
奥运女足,22.0,0.468,0.214,0.318,0.5,0.045,0.455,4.264,0.119,25095
奥运男足,27.0,0.421,0.24,0.339,0.481,0.111,0.407,2.465,0.292,25095
德乙,64.0,0.431,0.251,0.318,0.438,0.188,0.375,1.703,0.427,25095
德国杯,18.0,0.436,0.214,0.35,0.667,0.111,0.222,3.912,0.141,25095
德甲,268.0,0.445,0.233,0.322,0.358,0.261,0.381,8.298,0.016,25095
德超杯,1.0,0.549,0.232,0.219,0.0,1.0,0.0,3.308,0.191,25095
意大利杯,19.0,0.573,0.228,0.198,0.579,0.158,0.263,0.815,0.665,25095
意甲,226.0,0.416,0.264,0.32,0.407,0.301,0.292,1.713,0.425,25095
意超杯,1.0,0.535,0.266,0.199,1.0,0.0,0.0,0.869,0.648,25095
挪超,60.0,0.454,0.24,0.306,0.4,0.3,0.3,1.287,0.525,25095
日联杯,9.0,0.339,0.286,0.375,0.333,0.222,0.444,0.247,0.884,25095
欧冠,185.0,0.461,0.228,0.311,0.486,0.178,0.335,2.616,0.27,25095
欧协联,74.0,0.468,0.241,0.291,0.432,0.243,0.324,0.49,0.783,25095
欧国联,135.0,0.446,0.249,0.306,0.43,0.252,0.319,0.154,0.926,25095
欧洲杯,7.0,0.385,0.317,0.298,0.429,0.429,0.143,0.877,0.645,25095
欧洲超级杯,1.0,0.615,0.211,0.174,1.0,0.0,0.0,0.627,0.731,25095
欧联,164.0,0.467,0.247,0.286,0.512,0.207,0.28,1.767,0.413,25095
法乙,119.0,0.418,0.281,0.301,0.462,0.277,0.261,1.203,0.548,25095
