赛事,样本量,理论概率_胜,理论概率_平,理论概率_负,真实频率_胜,真实频率_平,真实频率_负,卡方统计量,P值,当前期数id
J2联赛,12.0,0.309,0.275,0.417,0.333,0.25,0.417,0.05,0.975,25003
J联赛,25.0,0.418,0.27,0.311,0.52,0.36,0.12,4.301,0.116,25003
世亚预,80.0,0.482,0.212,0.306,0.412,0.312,0.275,4.841,0.089,25003
世南美预,17.0,0.456,0.252,0.292,0.588,0.412,0.0,7.347,0.025,25003
亚冠,35.0,0.498,0.231,0.272,0.6,0.286,0.114,4.389,0.111,25003
亚洲杯,28.0,0.422,0.248,0.329,0.393,0.393,0.214,3.547,0.17,25003
友谊赛,40.0,0.536,0.224,0.24,0.475,0.3,0.225,1.333,0.513,25003
国王杯,6.0,0.468,0.267,0.266,0.5,0.5,0.0,2.831,0.243,25003
天皇杯,31.0,0.385,0.24,0.376,0.452,0.097,0.452,3.475,0.176,25003
奥运女足,22.0,0.468,0.214,0.318,0.5,0.045,0.455,4.264,0.119,25003
奥运男足,27.0,0.421,0.24,0.339,0.481,0.111,0.407,2.465,0.292,25003
德乙,59.0,0.437,0.251,0.312,0.475,0.186,0.339,1.303,0.521,25003
德国杯,19.0,0.451,0.213,0.337,0.579,0.105,0.316,1.745,0.418,25003
德甲,246.0,0.449,0.227,0.324,0.407,0.26,0.333,2.276,0.32,25003
德超杯,1.0,0.549,0.232,0.219,0.0,1.0,0.0,3.308,0.191,25003
意大利杯,18.0,0.579,0.237,0.184,0.778,0.056,0.167,3.749,0.153,25003
意甲,227.0,0.419,0.261,0.321,0.374,0.313,0.313,3.487,0.175,25003
意超杯,1.0,0.535,0.266,0.199,1.0,0.0,0.0,0.869,0.648,25003
挪超,67.0,0.468,0.237,0.295,0.373,0.299,0.328,2.612,0.271,25003
日联杯,10.0,0.276,0.263,0.461,0.3,0.4,0.3,1.294,0.524,25003
欧冠,151.0,0.469,0.228,0.303,0.49,0.199,0.311,0.731,0.694,25003
欧协联,55.0,0.473,0.244,0.282,0.436,0.309,0.255,1.256,0.534,25003
欧国联,112.0,0.446,0.244,0.31,0.438,0.241,0.321,0.073,0.964,25003
欧洲杯,51.0,0.41,0.256,0.333,0.333,0.373,0.294,3.65,0.161,25003
欧洲超级杯,1.0,0.615,0.211,0.174,1.0,0.0,0.0,0.627,0.731,25003
欧联,146.0,0.469,0.24,0.29,0.486,0.253,0.26,0.652,0.722,25003
欧预赛,8.0,0.505,0.262,0.233,0.625,0.25,0.125,0.631,0.73,25003
法乙,87.0,0.412,0.282,0.306,0.483,0.241,0.276,1.824,0.402,25003
法国杯,7.0,0.466,0.204,0.33,0.571,0.143,0.286,0.336,0.845,25003
法甲,119.0,0.438,0.246,0.316,0.395,0.277,0.328,1.016,0.602,25003
瑞典超,66.0,0.443,0.25,0.306,0.591,0.091,0.318,9.952,0.007,25003
社区盾杯,1.0,0.508,0.243,0.249,0.0,1.0,0.0,3.117,0.21,25003
美洲杯,31.0,0.462,0.248,0.29,0.387,0.323,0.29,1.071,0.585,25003
美职,65.0,0.506,0.238,0.256,0.569,0.2,0.231,1.063,0.588,25003
英冠,130.0,0.425,0.261,0.314,0.431,0.231,0.338,0.708,0.702,25003
英甲,10.0,0.379,0.268,0.354,0.6,0.4,0.0,5.481,0.065,25003
英超,312.0,0.452,0.226,0.321,0.423,0.272,0.304,3.775,0.151,25003
荷乙,61.0,0.452,0.24,0.308,0.377,0.295,0.328,1.624,0.444,25003
荷兰杯,4.0,0.451,0.172,0.378,0.5,0.25,0.25,0.337,0.845,25003
荷甲,37.0,0.387,0.232,0.381,0.378,0.27,0.351,0.328,0.849,25003
葡萄牙杯,5.0,0.415,0.257,0.327,0.4,0.4,0.2,0.646,0.724,25003
葡超,72.0,0.421,0.237,0.342,0.375,0.264,0.361,0.653,0.721,25003
西甲,225.0,0.443,0.259,0.299,0.444,0.244,0.311,0.289,0.865,25003
解放者杯,21.0,0.52,0.254,0.226,0.429,0.286,0.286,0.748,0.688,25003
